State,Average_avg-Temp,Average-Min Temp,Average-max-temp,avg-precipitation,avg-windSpeed,pH,Clay,Sand,Silt,Crop Yield,Hectare
Taraba,27.43951563,21.9358333,32.9420207,114.4166667,1.689473957,5.816666667,19,64.66666667,16.83333333,2.389935279,2.622656076
Ebonyi,27.44145819,22.92568235,31.95088009,164.0833333,1.356192695,5.65,27.33333333,54,20.33333333,0.349008541,0.297155424
Abuja,27.44209369,22.40260943,32.48682308,104.3333334,1.679614589,5.883333333,15.5,56.66666667,18.33333333,0.040602622,0.048095096
Ebonyi,27.44285413,22.91916148,31.9753176,164.4166667,1.342505195,5.883333333,26.16666667,59.66666667,14.16666667,0.349008541,0.297155424
Taraba,27.44369781,21.30321356,33.57954669,97.6875,1.750609381,6.133333333,15.16666667,65.66666667,17,2.389935279,2.622656076
Benue,27.44416138,22.3659269,32.52751033,107.2708333,1.686192706,5.766666667,15.66666667,60.16666667,13.33333333,1.10166258,1.097621464
Ebonyi,27.45945307,22.9383907,31.99226018,159.1875,1.387020824,5.766666667,28.5,55.83333333,17.33333333,0.349008541,0.297155424
Ebonyi,27.4646041,22.93641146,31.98006769,164.2291667,1.349421865,5.75,25.16666667,56,16.83333333,0.349008541,0.297155424
Kwara,27.47239594,22.34206768,32.87029688,94.02083333,1.850776022,6.266666667,16.83333333,57.5,16,0.679907788,0.636513539
Taraba,27.4801147,21.98678124,32.96987002,120.0833333,1.651770838,5.8,19.33333333,63,15,2.389935279,2.622656076
Taraba,27.48348423,22.16040111,32.80736494,114.0833333,1.693067697,5.65,16,62.83333333,15.5,2.389935279,2.622656076
Ebonyi,27.48711964,22.9433074,32.02467668,159.9375,1.378104163,5.683333333,26.5,56.5,15.16666667,0.349008541,0.297155424
Kwara,27.50363012,22.41418231,32.57749478,94.75,1.868927071,6.15,16.5,65.33333333,12.83333333,0.679907788,0.636513539
Plateau,27.51827085,21.58961459,33.44980749,96.41666667,1.906927054,6.3,20.66666667,58.66666667,18,2.60302342,1.686767501
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Ebonyi,27.52152078,22.9201928,32.11804168,160.3541667,1.375151028,5.733333333,26.66666667,48.83333333,22.5,0.349008541,0.297155424
Kwara,27.52972397,22.08555726,32.96675531,93.6875,1.852218717,6.166666667,14.66666667,57.16666667,17.33333333,0.679907788,0.636513539
Abuja,27.55267179,22.55715613,32.55239586,101.9583334,1.653802082,5.75,18.5,61.33333333,16.5,0.040602622,0.048095096
Abuja,27.55958327,22.56155733,32.56034891,99.85416667,1.672364585,5.983333333,21.16666667,59.66666667,17.83333333,0.040602622,0.048095096
